Namerus;Донского Войска область;Тифлисская губерния;Орловская губерния;Самарская губерния;Нижегородская губерния;Астраханская губерния;Екатеринославская губерния;Бессарабская губерния;Плоцкая губерния;Санкт-Михельская губерния;Казанская губерния;Московская губерния;Ковенская губерния;Люблинская губерния;Варшавская губерния;Ломжинская губерния;Харьковская губерния;Саратовская губерния;Симбирская губерния;Пензенская губерния;Гродненская губерния;Волынская губерния;Могилевская губерния;Лифляндская губерния;Тульская губерния;Калужская губерния;Рязанская губерния;Петербургская губерния;Владимирская губерния;Радомская губерния;Петроковская губерния;Келецкая губерния;Калишская губерния;Сувалкская губерния;Витебская губерния;Смоленская губерния;Псковская губерния;Олонецкая губерния;Пермская губерния;Вологодская губерния;Костромская губерния;Вятская губерния;Тамбовская губерния;Воронежская губерния;Курская губерния;Терская область;Кубанская область;Ставропольская область;Черниговская губерния;Полтавская губерния;Киевская губерния;Подольская губерния;Херсонская губерния;Таврическая губерния;Кутаисская губерния;Карсская область;Эриванская губерния;Елизаветопольская губерния;Оренбургская губерния;Уфимская губерния;Самаркандская область;Ферганская область;Тургайская область;Акмолинская область;Минская губерния;Виленская губерния;Ярославская губерния;Новгородская губерния;Тверская губерния;Семипалатинская область;Семиреченская область;Томская губерния;Иркутская область;Амурская область;Ревельская губерния;Седлецкая губерния;Сахалин остров;Закаспийская область;Дагестанская область;Бакинская губерния;Черноморская губерния;Уральская область;Сырь-Дарьинская область;Забайкальская область;Архангельская губерния;Курляндская губерния;Енисейская губерния;Якутская область;Тобольская губерния;Приморская область
Nameeng;Voyska Donskogo oblast;Tiflisskaya guberniya;Orlovskaya guberniya;Samarskaya guberniya;Nizhegorodskaya guberniya;Astrakhanskaya guberniya;Ekaterinoslavskaya guberniya;Bessarabskaya guberniya;Plotskaya guberniya;Sankt-Mikhelskaya guberniya;Kazanskaya guberniya;Moskovskaya guberniya;Kovenskaya guberniya;Lyublinskaya guberniya;Varshavskaya guberniya;Lomzhinskaya guberniya;Kharkovskaya guberniya;Saratovskaya guberniya;Simbirskaya guberniya;Penzenskaya guberniya;Grodnenskaya guberniya;Volynskaya guberniya;Mogilevskaya guberniya;Liflyandskaya guberniya;Tulskaya guberniya;Kaluzhskaya guberniya;Ryazanskaya guberniya;Peterburgskaya guberniya;Vladimirskaya guberniya;Radomskaya guberniya;Petrokovskaya guberniya;Keletskaya guberniya;Kalishskaya guberniya;Suvalkskaya guberniya;Vitebskaya guberniya;Smolenskaya guberniya;Pskovskaya guberniya;Olonetskaya guberniya;Permskaya guberniya;Vologodskaya guberniya;Kostromskaya guberniya;Vyatskaya guberniya;Tambovskaya guberniya;Voronezhskaya guberniya;Kurskaya guberniya;Terskaya oblast;Kubanskaya oblast;Stravropolskaya oblast;Chernigovskaya guberniya;Poltavskaya guberniya;Kiyevskaya guberniya;Podolskaya guberniya;Khersonskaya guberniya;Tavricheskaya guberniya;Kutaisskaya guberniya;Karsskaya oblast;Erivanskaya guberniya;Elisavetpolskaya guberniya;Orenburgskaya guberniya;Ufimskaya guberniya;Samarkandskaya oblast;Ferganskaya oblast;Turgayskaya oblast;Akmolinskaya oblast;Minskaya guberniya;Vilenskaya guberniya;Yaroslavskaya guberniya;Novgorodskaya guberniya;Tverskaya guberniya;Semipalatinskaya oblast;Semirechenskaya oblast;Tomskaya guberniya;Irkutskaya oblast;Amurskaya oblast;Estlyandskaya guberniya;Sedletskaya guberniya;Sakhalin;Zakaspyskaya oblast;Dagestanskaya oblast;Bakinskaya guberniya;Chernomorskaya guberniya;Uralskaya oblast;Syr-Daryinskaya oblast;Zabaykalskaya oblast;Arkhangelskaya guberniya;Kurlyandskaya guberniya;Eniseyskaya guberniya;Yakutskaya oblast;Tobolskaya guberniya;Primorskaya oblast
Великорусский;1712898;79082;2014127;1775839;1476391;409306;364974;155774;15137;1775839;832475;2371102;72872;47912;87850;27941;440936;1846436;1038493;1220080;74143;104889;58155;68124;1412946;1126018;1790752;1729564;1510795;9581;19232;7983;7451;24460;198001;1397875;1063007;284902;2705327;1224138;1381376;2347169;2562677;1602948;1832498;271185;816734;482495;495963;72941;209427;98984;575375;404463;19273;22327;13173;14146;1126040;834135;12485;8140;30438;174292;83999;78623;1064525;1323799;1642506;65062;76839;1658041;375997;82372;20439;19613;15807;27942;13111;73632;24635;160894;31900;437540;294865;25630;473220;30480;1270173;80173
Малорусский;719655;6443;4174;119301;253;133115;1456369;379698;2350;119301;789;5506;1682;196476;15930;3832;2009411;149291;1271;1031;362526;2095579;3559;638;1106;1302;1808;7612;702;1642;2723;1088;1429;2082;420;1374;77;62;2028;101;164;95;5884;915883;527778;42036;908818;319817;1526072;2583133;2819145;2442819;1462039;611121;4008;5279;2682;861;41541;4996;1391;1698;4588;51103;10069;919;800;254;1070;3257;18611;99300;2177;21096;230;107785;2368;5151;2895;3372;9252;2959;12853;5497;51;363;21421;320;37769;33326
Белорусский;9158;247;2984;418;995;774;14052;2471;114;418;76;1292;37798;525;1343;271;10258;1371;1455;160;705045;3794;1389782;852;84;724;123;4219;232;69;133;60;39;26567;788599;100757;2321;42;266;1111;175;87;2406;3544;924;1423;12356;880;151465;1344;6389;834;22958;9726;162;250;82;2868;2247;505;30;4;2;246;1633091;891903;717;648;438;114;15;4586;209;388;230;226;168;180;38;677;659;57;81;1863;256;12283;455;7;4396;274
Польский;3316;6282;3422;1940;1257;839;12365;11696;447685;1940;1700;10960;139618;729529;1420436;448065;5910;2596;757;902;161662;184161;17526;15132;1005;1762;1743;45009;1190;681061;1011928;666772;705400;134006;50377;7314;4466;307;1980;353;703;668;1836;1778;2862;4173;2719;961;3302;3891;68791;69156;30894;10112;1938;3243;1385;616;1696;956;1531;1535;101;1142;64617;130054;1420;3128;1424;195;185;6387;3864;358;1237;510621;1636;3812;1630;1439;731;250;2825;1621;456;19688;5941;427;5745;3198
 Чешский (словакский);222;245;76;56;13;26;450;482;8;56;40;636;48;306;880;42;221;76;211;15;125;27670;50;137;28;30;41;451;29;30;4987;36;34;22;26;29;28;5;33;4;6;25;54;88;112;130;1213;75;209;156;3294;886;1351;1962;167;11;36;25;25;35;47;21;0;30;652;42;7;79;10;0;3;28;21;0;23;105;5;28;19;149;1290;5;14;10;1;24;9;4;40;11
Сербский, хорватский, словенский;69;2;7;32;6;16;92;53;1;32;19;65;8;14;126;2;9;16;9;4;1;44;0;14;1;7;0;157;0;2;43;5;6;0;5;4;0;0;45;2;2;1;0;10;9;9;26;0;6;20;54;30;390;237;13;0;1;0;32;6;0;0;0;0;8;2;1;4;19;0;9;2;1;1;0;18;0;0;2;0;0;0;0;0;4;3;3;0;0;6
Болгарский;269;8;6;13;12;16;132;103225;43;13;7;110;17;56;459;7;44;8;2;1;137;48;1;2;18;0;0;127;3;9;97;4;2;1;19;2;4;0;9;0;0;2;4;13;2;29;322;10;4;13;123;57;25685;41260;67;0;2;0;22;6;0;0;0;0;4;3;3;5;6;0;0;3;5;0;2;20;11;32;4;0;0;0;0;3;0;0;2;0;6;11
Литовское;146;1263;38;650;63;73;297;47;201;650;119;690;574853;46;185;148;55;82;13;15;3366;103;3600;6594;30;33;18;4286;124;7;96;25;21;304548;2235;255;89;7;62;10;36;17;80;50;20;789;238;150;66;29;112;42;478;213;450;892;384;116;54;41;17;0;4;58;613;279720;119;767;40;1;2;804;98;1;86;45;125;935;520;272;47;3;22;76;81;16531;212;17;335;209
Жмудское;12;34;1;4;0;0;28;100;10;4;10;8;444921;32;35;19;3;0;1;4;204;28;19;100;0;1;1;103;2;37;9;36;10;54;67;15;5;3;3;14;1;1;2;5;7;0;0;0;16;17;56;28;62;5;16;0;2;0;2;0;0;0;0;10;88;157;3;2;3;0;0;35;4;0;3;3;2;1;3;0;0;0;0;3;4;1517;16;0;11;4
Латышское;382;123;339;183;93;15;235;90;63;183;173;1018;35188;206;1759;2509;116;324;548;199;426;113;7027;563829;124;332;57;10251;109;10;127;139;51;74;264062;3485;11127;19;69;26;327;8;171;182;54;52;848;49;44;123;395;112;619;290;90;64;99;32;226;3873;10;12;3;544;1686;471;224;6287;491;8;9;1458;159;16;472;126;132;28;14;99;41;1;12;82;13;505994;1445;19;3278;125
" Молдавский и румынский
";166;198;26;155;1;11;9175;920919;253;155;7;40;4;494;2299;42;26;103;89;82;177;314;14;1;0;0;0;109;0;1343;610;50;13;2;0;5;6;0;13;0;0;2;154;2;3;156;5370;92;22;16;250;26764;147218;2259;197;47;29;106;151;25;20;7;0;75;10;10;22;2;2;0;2;125;197;7;2;117;107;47;66;48;923;16;14;41;2;2;54;11;74;56
Французский;450;356;83;34;50;32;908;476;38;34;84;2621;62;59;882;19;318;94;31;40;102;154;47;339;64;29;46;3518;60;78;509;40;41;19;58;60;34;8;95;12;13;18;66;74;68;30;54;16;105;105;642;245;1353;464;176;4;4;15;15;61;13;3;1;12;93;149;22;40;45;0;4;22;13;10;87;51;0;19;12;76;103;4;15;4;6;101;14;4;8;24
Итальянский;119;259;3;13;3;12;146;44;1;13;8;374;1;3;56;3;56;19;2;19;7;5;6;86;3;2;3;523;3;3;36;1;0;0;3;0;0;0;10;11;3;1;3;3;12;35;20;2;8;8;101;18;834;1121;109;0;330;22;0;1;26;8;0;0;4;5;0;11;1;0;0;3;21;0;2;0;1;6;0;34;65;0;3;50;0;1;43;0;0;2
Испанский и португальский;5;1;0;0;2;0;1;2;0;0;0;18;8;2;5;0;3;0;0;0;0;0;1;3;0;9;1;31;0;1;0;0;1;1;0;0;0;0;6;0;0;1;0;0;1;0;0;0;0;0;6;1;18;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;1
Немецкий;34855;8340;1406;224336;912;5162;80979;60206;35931;224336;1155;19116;21762;25972;77160;4651;9080;166528;593;654;10284;171331;1806;98573;771;593;586;63457;613;8755;148765;2428;61482;30485;7361;1727;3885;137;947;226;289;281;1244;1982;1018;9672;20778;8601;5306;4579;14707;4069;123453;78305;1065;430;210;3194;5457;1082;440;369;60;4791;3987;3873;874;4188;1090;100;40;1430;607;135;16037;11645;267;1026;261;3430;748;161;1887;237;309;51017;946;79;1120;603
Шведский;37;37;27;19;49;111;44;16;6;19;39;228;6;14;45;5;38;29;9;5;8;17;10;424;9;20;12;5232;11;1;6;1;0;6;11;11;18;27;24;12;16;11;6;9;18;4;6;0;3;6;39;7;662;38;3;0;1;0;35;28;0;6;0;5;11;25;20;81;19;1;0;69;11;2;5768;1;12;10;7;347;0;0;4;14;30;87;35;2;61;55
 Норвежский и датский;9;2;1;19;0;2;6;15;0;19;0;47;29;3;24;0;10;13;11;1;10;19;2;223;2;1;0;248;1;1;0;0;0;0;3;2;6;1;3;21;0;1;26;8;1;0;6;0;0;1;7;7;25;7;3;0;0;0;48;0;0;13;0;6;12;0;4;4;7;0;0;22;3;0;160;0;0;0;0;1;0;0;0;1;226;282;0;1;2;21
Голландский;23;2;0;0;0;10;10;1;0;0;1;20;2;0;9;0;1;2;1;1;0;43;0;30;0;0;0;93;1;15;4;0;0;0;0;0;2;0;0;0;0;4;0;0;1;0;0;0;0;1;10;0;11;8;22;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
Английский;86;37;26;4;37;2;369;19;4;4;10;1135;7;9;270;0;65;39;6;12;18;11;15;311;20;3;16;2644;131;2;69;3;1;2;17;18;11;4;51;5;11;2;19;24;14;16;10;0;11;15;83;15;475;147;135;0;5;12;2;12;2;0;0;4;13;11;31;32;44;2;0;3;5;5;111;5;0;4;1;25;91;10;6;2;5;73;8;1;17;46
Еврейский;15121;5188;6113;1669;2493;2214;99152;228168;51215;1669;1381;5756;212028;155398;317169;91236;12650;2527;445;483;278542;394774;203507;23728;2761;1459;1479;16061;1144;112123;213562;83017;64193;59129;174240;10903;7361;437;1761;373;830;882;2046;2277;4066;6328;1942;1338;113787;110352;430489;369306;322537;55418;7006;1138;850;185;1844;634;1312;1378;58;1613;343466;202374;1554;3732;1460;287;274;7611;7111;263;1269;120152;132;860;7361;8172;990;115;1975;7833;253;37689;5058;631;2387;1571
Грузинский;107;465537;8;7;3;53;56;15;3;7;10;115;11;3;18;3;63;10;0;5;84;17;4;12;5;8;0;212;1;0;2;0;0;3;13;0;0;0;6;0;2;6;7;9;7;5893;917;154;2;13;66;3;202;260;343929;526;566;1239;3;1;26;11;0;14;1;3;1;2;2;0;1;53;86;156;0;7;148;164;375;1616;968;0;22;34;4;3;13;16;43;0
Имеретинское;0;1546;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;756;17;16;0;0;0;0;0;0;270513;7;9;119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;20;23;158;0;0;0;0;0;0;0;0;0
Мингрельское;0;498;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;27;4;0;0;0;0;0;0;238655;10;13;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;10;39;304;0;0;0;0;0;1;0;0;0
Сванетское;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;15669;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Греческий;2255;27118;22;31;12;27;48740;2737;0;31;13;292;0;6;82;2;104;21;4;7;21;18;1;24;11;0;7;274;2;0;36;2;15;2;0;4;1;0;15;0;1;11;14;41;14;958;20137;1715;15;38;118;33;8297;18048;14482;32593;1323;558;3;8;21;6;0;0;13;7;4;3;9;3;4;33;29;3;13;5;12;67;38;278;5969;1;5;5;1;0;33;8;24;18
Албанское;1;0;0;9;0;0;2;848;1;9;0;0;0;1;3;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;2;1;3;37;11;0;0;0;0;0;4;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Армянский;27234;196189;32;31;40;4270;545;2080;13;31;36;1633;4;17;104;3;615;168;4;4;54;26;2;49;22;1;4;788;3;6;19;3;2;5;16;9;1;2;16;7;2;4;70;168;53;11803;13926;5385;4;11;100;85;2070;8938;24043;73406;441000;292188;11;14;370;177;1;5;10;57;4;1;14;0;1;25;213;13;2;10;167;4256;1636;52233;6285;9;43;75;0;15;44;19;27;46
Персидский;76;1991;18;23;6;884;26;9;1;23;8;101;4;0;4;0;28;40;2;17;0;3;0;6;6;0;2;51;1;0;0;0;1;7;0;0;0;0;13;0;5;1;12;6;4;4245;252;191;4;4;45;1;101;74;1022;568;235;338;19;0;1723;1565;10;14;14;14;0;1;0;3;18;10;88;21;0;0;39;8015;1720;5973;210;11;1661;83;0;1;16;5;16;37
Таджикское;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;230384;114081;0;5;0;0;0;0;0;0;264;0;0;19;0;0;1;35;0;0;0;0;5557;11;0;0;39;0;1;0
Талышинское;0;152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;34994;71;0;0;0;0;0;0;0;0;0
Татское;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;34;6;709;1753;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2998;89519;2;0;0;0;0;0;0;0;0;0
Курдские;0;2538;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;4;0;0;0;0;0;0;1824;42968;49389;3042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;22;8;22;0;0;0;0;0;0;0;0;0
Осетинские;34;67268;0;0;0;1;129;0;0;0;0;52;4;0;3;0;42;1;37;0;9;5;0;0;0;0;8;51;0;0;0;0;0;1;0;0;0;0;12;0;0;0;2;21;0;96621;1973;59;1;1;9;13;8;11;4240;520;112;96;0;0;8;0;0;2;0;0;0;0;4;0;0;5;16;0;0;0;1;45;113;113;12;0;4;1;0;0;28;10;5;5
Индусское;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;38;0;0;0;0;0;41;148;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;1;0;0;0;0;61;1;0;0;7;0;10;0
Цыганское;1267;4;322;802;523;143;1293;8636;106;802;112;511;426;222;183;115;425;589;163;100;206;286;637;495;54;225;271;454;61;45;44;74;36;146;1054;661;647;126;375;147;169;330;283;1644;649;493;1753;535;739;333;884;510;1671;1433;59;130;10;8;514;90;70;508;21;64;498;182;172;500;462;26;15;2192;1094;12;53;85;58;7;2;1;46;32;28;322;147;1202;974;44;1526;16
Авганский;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;317;0;0;0;0;16;0;0;0;0;0;0;0
Кабардинское;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84093;14340;11;0;0;0;0;0;0;7;19;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;2;0;31;23;0;0;0;0;0;0;3;0;0;0
Черкесское;71;0;7;15;0;137;38;6;0;15;10;38;1;4;17;1;27;39;8;7;5;7;3;13;8;67;12;42;0;0;0;0;0;4;4;6;0;0;9;10;0;6;14;13;22;2565;38488;38;1;2;6;13;13;29;165;71;1;10;9;2;0;45;4;0;2;0;0;2;3;0;15;147;522;0;2;0;130;197;37;18;1939;6;0;207;10;1;490;96;205;124
Абхазское;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;12481;9;0;0;0;0;0;0;59469;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;2;2;0;0;0;0;0;0;0;0;0
